,상호명,상권업종대분류명,표준산업분류명,시군구명,도로명주소,경도,위도
3193,대신슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 모라로192번길 20-21,129.000699578052,35.1834145170763
3194,모아유통,소매,조리 반찬류 소매업,사상구,부산광역시 사상구 백양대로445번길 7,129.002740982492,35.1520560862723
3195,구포부민매점,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 사상로 605,128.990679319162,35.1982076427711
3196,장수상회,소매,기타 음ㆍ식료품 위주 종합 소매업,강서구,부산광역시 강서구 공항로1309번길 212,128.977429709398,35.2160276824309
3197,대가유통,소매,기타 음ㆍ식료품 위주 종합 소매업,서구,부산광역시 서구 해돋이로173번길 17-3,129.017989349474,35.0924093970066
3198,킹마트,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 학감대로123번길 75,128.983724826249,35.1405117843145
3199,주공원마트,소매,기타 음ㆍ식료품 위주 종합 소매업,부산진구,부산광역시 부산진구 백양대로136번길 21,129.034034260659,35.160987291175
3200,"참좋은참기름,바다수산",소매,기타 식료품 소매업,기장군,부산광역시 기장군 정관읍 용수로 93,129.172444470194,35.3296887950476
3201,풍년떡방,음식,떡류 제조업,강서구,부산광역시 강서구 명지오션시티10로 17,128.897391857928,35.0881787597572
3202,서원마트,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 명장로20번길 120-1,129.099617552149,35.2009450469134
3203,연제떡방앗간,음식,떡류 제조업,연제구,부산광역시 연제구 중앙대로1038번길 53,129.080072072893,35.1795057420231
3204,농심가할인스토아,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 대리로6번길 112,129.086441385775,35.1763299793959
3205,김정문알로에,소매,건강 보조식품 소매업,동래구,부산광역시 동래구 금강공원로20번길 68,129.083346576967,35.2218956111195
3206,지피엠유통,소매,기타 음ㆍ식료품 위주 종합 소매업,금정구,부산광역시 금정구 금강로565번길 15,129.08675011341,35.2580103465628
3207,연일채소,소매,"채소, 과실 및 뿌리작물 소매업",연제구,부산광역시 연제구 고분로32번길 10,129.085735447491,35.1851608808749
3208,유성상회,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 명륜로98번길 61,129.086794825295,35.2020523348032
3209,세원떡방앗간,음식,떡류 제조업,동래구,부산광역시 동래구 충렬대로359번길 55,129.099039294726,35.2004094675707
3210,궁정떡방앗간,음식,떡류 제조업,북구,부산광역시 북구 백양대로 1025,128.995253901856,35.1978276023312
3211,새롬디씨마트,소매,슈퍼마켓,북구,부산광역시 북구 모분재로 54,129.005977649348,35.2027687540993
3212,JC할인마트,소매,기타 음ㆍ식료품 위주 종합 소매업,수영구,부산광역시 수영구 수영로464번길 19,129.111492452405,35.1471862148879
3213,종가떡집,음식,떡류 제조업,연제구,부산광역시 연제구 중앙대로1150번길 56,129.083809703376,35.1906224973674
3214,월드유한,소매,육류 소매업,연제구,부산광역시 연제구 과정로294번길 10,129.095535568076,35.1889125260212
3215,경남상회,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 명안로77번길 29,129.102741251543,35.2037469773952
3216,풍산떡방앗간,음식,떡류 제조업,동래구,부산광역시 동래구 여고로113번길 62-3,129.074374557103,35.2012257345683
3217,우리슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 충렬대로181번길 45,129.079904576954,35.2058457089758
3218,밀양상회,소매,기타 식료품 소매업,해운대구,부산광역시 해운대구 재송1로60번길 36,129.123912348293,35.1860565230471
3219,영남슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 고분로105번길 6-5,129.094128563838,35.1863382724853
3220,건강지킴이,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 중앙대로1301번길 10,129.074962108595,35.2033117314074
3221,신천지,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 과정로 288,129.096057459012,35.1885292225035
3222,풍국떡방앗간,음식,떡류 제조업,연제구,부산광역시 연제구 고분로20번길 13,129.084647411326,35.1850804913938
3223,청학동떡마을,음식,떡류 제조업,동래구,부산광역시 동래구 온천장로119번가길 17,129.081844021306,35.2212420265252
3224,슈퍼마켓,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 연안로52번길 99-3,129.112751880724,35.1905042428963
3225,탑플러스,소매,슈퍼마켓,연제구,부산광역시 연제구 아시아드대로82번길 27,129.067653031519,35.1927761047862
3226,농축산직판장슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 중앙대로1267번길 45,129.075241515843,35.1995144225374
